id,code,parent_id/id,name,user_type_id/id,chart_template_id/id,reconcile
coa_oil_product_purchase_not_billed,343102,petrogas_coa_3431,Oil Product Received Not Billed,account.data_account_type_current_liabilities,l10n_petrogas.gambian_chart_template,True
petrogas_coa_344,344,petrogas_coa_34,Dividend Payables,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_345,345,petrogas_coa_34,Interest Payable,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_346,346,petrogas_coa_34,Payables On Social Security ,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_347,347,petrogas_coa_34,Tax other than income (refund),account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_348,348,petrogas_coa_34,Value added tax / goods service tax (refund),account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_349,349,petrogas_coa_34,Other Accrued Liabilities,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_35,35,petrogas_coa_3,Income tax liabilities,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_351,351,petrogas_coa_35,Current income tax payable,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
coa_vat_sale,351001,petrogas_coa_351,VAT Sale,account.data_account_type_current_liabilities,l10n_petrogas.gambian_chart_template,True
coa_vat_purchase,351002,petrogas_coa_351,VAT Purchase,account.data_account_type_current_liabilities,l10n_petrogas.gambian_chart_template,True
coa_vat_paid,351003,petrogas_coa_351,VAT Paid,account.data_account_type_current_liabilities,l10n_petrogas.gambian_chart_template,True
petrogas_coa_352,352,petrogas_coa_35,Deferred income tax liability,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_36,36,petrogas_coa_3,Other And Miscellaneous Liabilities,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_361,361,petrogas_coa_36,Government Grant Obligations,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_362,362,petrogas_coa_36,Liabilities Due To Central Banks,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_363,363,petrogas_coa_36,Other Liabilities,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
coa_profit_loss,Class 4 to 7,petrogas_coa_0,Profit & Loss,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
coa_operating_profit_loss,Class 4 to 5,coa_profit_loss,Operating Profit & Loss,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_4,4,coa_operating_profit_loss,Operating Income,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_41,41,petrogas_coa_4,Goods,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
product_oil_income,411,petrogas_coa_41,Oil Product Sales,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
coa_oil_product_income_gasoil,411001,product_oil_income,GASOIL,account.data_account_type_revenue,l10n_petrogas.gambian_chart_template,False
coa_oil_product_income_super,411002,product_oil_income,SUPER,account.data_account_type_revenue,l10n_petrogas.gambian_chart_template,False
coa_oil_product_income_premix,411003,product_oil_income,PREMIX,account.data_account_type_revenue,l10n_petrogas.gambian_chart_template,False
coa_oil_product_income_fioul,411004,product_oil_income,FIOUL,account.data_account_type_revenue,l10n_petrogas.gambian_chart_template,False
coa_oil_product_income_kerozine,411005,product_oil_income,KEROZINE,account.data_account_type_revenue,l10n_petrogas.gambian_chart_template,False
coa_oil_product_income_avgas,411006,product_oil_income,AVGAS,account.data_account_type_revenue,l10n_petrogas.gambian_chart_template,False
coa_oil_product_income_lpg_bulk,411007,product_oil_income,Liquid Propane Gas (LPG) Bulk,account.data_account_type_revenue,l10n_petrogas.gambian_chart_template,False
coa_oil_product_income_lpg_6_kg,411008,product_oil_income,Liquid Propane Gas (LPG) 6 Kg,account.data_account_type_revenue,l10n_petrogas.gambian_chart_template,False
coa_oil_product_income_lpg_12_kg,411009,product_oil_income,Liquid Propane Gas (LPG) 12.5 Kg,account.data_account_type_revenue,l10n_petrogas.gambian_chart_template,False
coa_oil_product_income_lpg_25_kg,411010,product_oil_income,Liquid Propane Gas (LPG) 25 Kg,account.data_account_type_revenue,l10n_petrogas.gambian_chart_template,False
petrogas_coa_4198,4198,petrogas_coa_41,Discounts,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_419800,419800,petrogas_coa_4198,Discounts,account.data_account_type_revenue,l10n_petrogas.gambian_chart_template,
petrogas_coa_4199,4199,petrogas_coa_41,Adjustments,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_42,42,petrogas_coa_4,Services,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_4298,4298,petrogas_coa_42,Discounts,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_4299,4299,petrogas_coa_42,Adjustments,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_43,43,petrogas_coa_4,Barter Sales,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_44,44,petrogas_coa_4,Other operating income,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_5,5,coa_operating_profit_loss,Operating Expenses,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_50,50,petrogas_coa_5,Cost of Sales,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
product_oil_cost,501,petrogas_coa_50,Oil Product Cost,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
coa_oil_product_expense_ago,501001,product_oil_cost,GASOIL,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
coa_oil_product_expense_pms,501002,product_oil_cost,SUPER,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
coa_oil_product_expense_premix,501003,product_oil_cost,PREMIX,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
coa_oil_product_expense_fioul,501004,product_oil_cost,FIOUL,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
coa_oil_product_expense_kero,501005,product_oil_cost,KEROZINE,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
coa_oil_product_expense_avgas,501006,product_oil_cost,AVGAS,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
coa_oil_product_expense_lpg_bulk,501007,product_oil_cost,Liquid Propane Gas (LPG) Bulk,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
coa_oil_product_expense_lpg_6kg,501008,product_oil_cost,Liquid Propane Gas (LPG) 6 Kg,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
coa_oil_product_expense_lpg_12kg,501009,product_oil_cost,Liquid Propane Gas (LPG) 12.5 Kg,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
coa_oil_product_expense_lpg_25kg,501010,product_oil_cost,Liquid Propane Gas (LPG) 25 Kg,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
petrogas_coa_51,51,petrogas_coa_5,Employee Benefits,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_510000,510000,petrogas_coa_51,Salaries and Wages,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
petrogas_coa_510001,510001,petrogas_coa_51,Allowances,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
petrogas_coa_510002,510002,petrogas_coa_51,Overtime Pay,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
petrogas_coa_510003,510003,petrogas_coa_51,Social Security Tax,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
petrogas_coa_510004,510004,petrogas_coa_51,Health Insurance Contribution,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
petrogas_coa_510005,510005,petrogas_coa_51,Medical Costs,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
petrogas_coa_510006,510006,petrogas_coa_51,Internal Sales Commissions ,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
petrogas_coa_510007,510007,petrogas_coa_51,Sales Commissions,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
petrogas_coa_510008,510008,petrogas_coa_51,Staff welfare,account.data_account_type_expenses,l10n_petrogas.gambian_chart_template,False
petrogas_coa_52,52,petrogas_coa_5,Services,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
