code,name,country_id,city_id,category_id,property_payment_term_id,default_regime_id,company_type,customer,supplier,property_account_receivable_id/id,property_account_payable_id/id
2036,G4S Security Services (Gambia) Ltd.,Gambia,Banjul,SUPPLIER,Immediate Payment,D.P,company,False,True,l10n_petrogas.coa_supplier,l10n_petrogas.coa_supplier
2037,Gambia Civil Aviation Authority,Gambia,Banjul,ADMINISTRATION,Immediate Payment,D.P,company,False,True,l10n_petrogas.coa_supplier,l10n_petrogas.coa_supplier
2038,GAMBIA ELECTRICAL CO.,Gambia,Banjul,ELECTRIC,Immediate Payment,D.P,company,False,True,l10n_petrogas.coa_supplier,l10n_petrogas.coa_supplier
2039,GAMBIA PORTS AUTHORITY,Gambia,Banjul,TELECOM,Immediate Payment,D.P,company,False,True,l10n_petrogas.coa_supplier,l10n_petrogas.coa_supplier
2040,GAMBIA RADIO AND TELEVISION SERVICES,Gambia,Banjul,TELECOM,Immediate Payment,D.P,company,False,True,l10n_petrogas.coa_supplier,l10n_petrogas.coa_supplier
2041,GAMBIA TELECOMMUNICATION,Gambia,Banjul,TELECOM,Immediate Payment,D.P,company,False,True,l10n_petrogas.coa_supplier,l10n_petrogas.coa_supplier
2042,GAMCEL COMPANY LIMITED,Gambia,Banjul,SUPPLIER,Immediate Payment,D.P,company,False,True,l10n_petrogas.coa_supplier,l10n_petrogas.coa_supplier
2043,Gampetroleum Storage Facility Limited,Gambia,Banjul,SUPPLIER,Immediate Payment,D.P,company,False,True,l10n_petrogas.coa_supplier,l10n_petrogas.coa_supplier
2044,GEOGAS TRADING S.A.,Gambia,Banjul,SUPPLIER,Immediate Payment,D.P,company,False,True,l10n_petrogas.coa_supplier,l10n_petrogas.coa_supplier
2045,"Geotour Viagens E Turismo, S.A",Gambia,Banjul,SUPPLIER,Immediate Payment,D.P,company,False,True,l10n_petrogas.coa_supplier,l10n_petrogas.coa_supplier
2046,"GLOBALVINTAF - COMERCIO INTERNATIONAL, LDA",Gambia,Banjul,SUPPLIER,Immediate Payment,D.P,company,False,True,l10n_petrogas.coa_supplier,l10n_petrogas.coa_supplier
2047,HOME CHOICE GAMBIA LTD,Gambia,Banjul,SUPPLIER,Immediate Payment,D.P,company,False,True,l10n_petrogas.coa_supplier,l10n_petrogas.coa_supplier
2048,IDEAL HOME,Gambia,Banjul,SUPPLIER,Immediate Payment,D.P,company,False,True,l10n_petrogas.coa_supplier,l10n_petrogas.coa_supplier
2049,IDEAL TECHNICAL AND CONSTRUCTION CO (ITAC),Gambia,Banjul,SUPPLIER,Immediate Payment,D.P,company,False,True,l10n_petrogas.coa_supplier,l10n_petrogas.coa_supplier
2050,INSPIRON,Gambia,Banjul,SUPPLIER,Immediate Payment,D.P,company,False,True,l10n_petrogas.coa_supplier,l10n_petrogas.coa_supplier
2051,JABEL TOURAY TRANSPORT,Gambia,Banjul,TRANSPORT,Immediate Payment,D.P,company,False,True,l10n_petrogas.coa_supplier,l10n_petrogas.coa_supplier
2052,JAH OIL COMPANY LTD,Gambia,Banjul,SUPPLIER,Immediate Payment,D.P,company,False,True,l10n_petrogas.coa_supplier,l10n_petrogas.coa_supplier
2053,JAPAN AUTO PARTS,Gambia,Banjul,SUPPLIER,Immediate Payment,D.P,company,False,True,l10n_petrogas.coa_supplier,l10n_petrogas.coa_supplier
2054,JOBREK,Gambia,Banjul,SUPPLIER,Immediate Payment,D.P,company,False,True,l10n_petrogas.coa_supplier,l10n_petrogas.coa_supplier
2055,Kairawan Bridge Oil - Transporter,Gambia,Banjul,TRANSPORT,Immediate Payment,D.P,company,False,True,l10n_petrogas.coa_supplier,l10n_petrogas.coa_supplier
2056,KALILU TOURAY,Gambia,Banjul,SUPPLIER,Immediate Payment,D.P,company,False,True,l10n_petrogas.coa_supplier,l10n_petrogas.coa_supplier
