"code","name","country_id","city","category_id","property_payment_term_id","default_regime_id","company_type","customer","supplier","default_location_id","property_account_receivable_id/id","property_account_payable_id/id"
"0028","OIC","Gambia","Banjul","B2B","Immediate Payment","D.P","company","True","False","SOTGAMPET","l10n_petrogas.coa_customer_b2b","l10n_petrogas.coa_supplier"
"0026","Radville Farms Ltd.","Gambia","Banjul","B2B","Immediate Payment","D.P","company","True","False","SOTGAMPET","l10n_petrogas.coa_customer_b2b","l10n_petrogas.coa_supplier"
"0002","Riders for Heath","Gambia","Banjul","B2B","Immediate Payment","D.P","company","True","False","SOTGAMPET","l10n_petrogas.coa_customer_b2b","l10n_petrogas.coa_supplier"
"0024","Royal Energy","Gambia","Banjul","B2B","Immediate Payment","D.P","company","True","False","SOTGAMPET","l10n_petrogas.coa_customer_b2b","l10n_petrogas.coa_supplier"
"0025","Share and Care","Gambia","Banjul","B2B","Immediate Payment","D.P","company","True","False","SOTGAMPET","l10n_petrogas.coa_customer_b2b","l10n_petrogas.coa_supplier"
"0011","SPCPL SPCIPL JV","Gambia","Banjul","B2B","Immediate Payment","D.P","company","True","False","SOTGAMPET","l10n_petrogas.coa_customer_b2b","l10n_petrogas.coa_supplier"
"0053","Sukuta Station","Gambia","Banjul","CODO","Immediate Payment","D.P","company","True","False","SOTGAMPET","l10n_petrogas.coa_customer_codo","l10n_petrogas.coa_supplier"
"0006","Swami Gambia Ltd","Gambia","Banjul","B2B","Immediate Payment","D.P","company","True","False","SOTGAMPET","l10n_petrogas.coa_customer_b2b","l10n_petrogas.coa_supplier"
"0030","Taf Africa Global","Gambia","Banjul","B2B","Immediate Payment","D.P","company","True","False","SOTGAMPET","l10n_petrogas.coa_customer_b2b","l10n_petrogas.coa_supplier"
"0054","TALLINDING Station","Gambia","Banjul","COCO","Immediate Payment","D.P","company","True","False","SOTGAMPET","l10n_petrogas.coa_customer_coco","l10n_petrogas.coa_supplier"
"0009","UN Environment EBA","Gambia","Banjul","B2B","Immediate Payment","D.P","company","True","False","SOTGAMPET","l10n_petrogas.coa_customer_b2b","l10n_petrogas.coa_supplier"
"0038","Zion Enterprise","Gambia","Banjul","B2B","Immediate Payment","D.P","company","True","False","SOTGAMPET","l10n_petrogas.coa_customer_b2b","l10n_petrogas.coa_supplier"
